17608,0.8853972060340741,2.9154759474226504,214,244,124,142,211.5,242.5,113,141
17388,0.8562261392250833,7.648529270389178,205,301,126,138,203.5,293.5,133,125
26240,0.8205405405405405,0.0,124,213,164,160,124.0,213.0,184,174
4096,0.811272957568081,5.0,339,267,64,64,336.0,263.0,66,64
3480,0.9197226296839579,2.0615528128088303,355,182,60,58,354.5,180.0,61,58
3480,0.8046054102392131,2.5,280,223,58,60,278.5,221.0,63,70
3844,0.9121765962497033,0.5,277,283,62,62,277.0,282.5,60,67
4760,0.8591549295774648,0.7071067811865476,325,298,68,70,325.5,298.5,61,69
5320,0.8915774386645308,4.031128874149275,409,344,70,76,408.5,340.0,71,80
5928,0.9018055115616092,3.1622776601683795,450,310,76,78,447.0,309.0,74,78
6560,0.8035596572181938,2.9154759474226504,495,253,82,80,492.5,251.5,81,69
5772,0.850126582278481,1.5811388300841898,405,258,78,74,403.5,257.5,69,73
5320,0.7500412745583622,1.0,226,231,76,70,226.0,232.0,86,58
23716,0.8735574895525822,0.7071067811865476,201,308,154,154,201.5,308.5,169,147
4352,0.8775510204081632,3.2015621187164243,122,213,68,64,124.0,210.5,66,69
3840,0.8635282333792412,1.5811388300841898,104,178,64,60,102.5,177.5,57,61
3968,0.9241304084353412,1.5811388300841898,123,197,64,62,124.5,196.5,61,63
3360,0.8371168398101834,2.692582403567252,161,230,56,60,158.5,229.0,55,66
3360,0.7618040873854828,2.9154759474226504,197,260,60,56,199.5,258.5,59,47
2496,0.8938861560084329,1.8027756377319946,276,244,48,52,275.0,242.5,48,57
2700,0.8782608695652174,1.5811388300841898,311,203,50,54,309.5,202.5,53,51
2600,0.8297455968688845,3.0,313,167,50,52,310.0,167.0,50,56
2700,0.8959231024196221,0.7071067811865476,339,161,50,54,338.5,160.5,55,53
2704,0.8733015704958532,2.1213203435596424,361,172,52,52,359.5,170.5,49,51
25272,0.8303343843815494,5.1478150704935,362,283,162,156,366.5,280.5,167,137
3024,0.9016393442622951,1.4142135623730951,397,199,56,54,396.0,198.0,60,56
3596,0.7546408393866021,2.0615528128088303,504,220,62,58,506.0,219.5,50,55
3120,0.8335910918651407,2.5495097567963922,502,212,60,52,499.5,211.5,55,49
3240,0.874121944366395,0.5,399,235,60,54,399.0,235.5,64,51
2808,0.8397141398672793,1.5811388300841898,350,283,52,54,349.5,281.5,47,53
3024,0.8575642646439107,2.1213203435596424,372,269,54,56,370.5,267.5,61,57
3136,0.7486725663716814,3.0,368,238,56,56,365.0,238.0,56,46
3136,0.8318481208833786,3.905124837953327,327,246,56,56,324.5,243.0,61,62
3844,0.8453010833963215,1.0,336,240,62,62,336.0,239.0,60,54
3720,0.889763779527559,2.692582403567252,360,225,60,62,357.5,224.0,57,60
28512,0.9768410360589131,0.7071067811865476,480,255,176,162,480.5,255.5,179,165
3720,0.9236641221374046,2.5,358,228,62,60,358.0,225.5,62,65
5032,0.8147851614625033,5.315072906367325,325,301,68,74,321.5,297.0,67,74
5776,0.8303409652446055,4.272001872658765,373,296,76,76,371.5,292.0,71,72
6080,0.7627064293730961,3.1622776601683795,381,282,76,80,382.0,279.0,70,66
5040,0.8209233060312733,3.905124837953327,372,220,70,72,369.5,217.0,63,72
5328,0.9000168890390137,3.0413812651491097,367,253,74,72,364.0,252.5,76,75
5624,0.8503976984261297,2.8284271247461903,292,265,76,74,290.0,263.0,76,66
5776,0.925,3.0,276,308,76,76,273.0,308.0,76,76
6240,0.8732488325550367,4.527692569068709,194,236,80,78,189.5,235.5,81,77
9024,0.9405940594059405,0.0,150,292,94,96,150.0,292.0,100,96
26520,0.8115109928581431,3.5355339059327378,452,207,170,156,454.5,209.5,205,153
10200,0.9003858606466493,3.5355339059327378,191,420,100,102,188.5,417.5,107,103
8448,0.7938144329896907,3.905124837953327,213,321,96,88,210.5,318.0,89,76
7560,0.9143835616438356,2.8284271247461903,261,270,90,84,259.0,268.0,90,86
9588,0.7110675096286607,3.8078865529319543,350,178,102,94,346.5,179.5,139,99
10584,0.922577873254565,1.118033988749895,378,191,108,98,379.0,191.5,116,99
11660,0.8132146525162616,3.0413812651491097,328,167,110,106,325.0,167.5,126,115
11664,0.8447164481784603,4.123105625617661,317,145,108,108,316.0,141.0,106,126
13688,0.9503851862322426,2.0,307,71,116,118,305.0,71.0,112,120
14136,0.9023304347826087,2.5495097567963922,278,84,114,124,277.5,81.5,109,119
14640,0.8612224604580342,5.70087712549569,218,150,122,120,216.5,144.5,115,131
25920,0.8807702453178581,3.0413812651491097,357,117,160,162,356.5,120.0,147,160
17952,0.9130673398825531,2.9154759474226504,177,157,136,132,175.5,154.5,131,127
21608,0.8747809463119325,3.2015621187164243,177,139,146,148,179.0,136.5,132,145
22792,0.765750162372808,1.118033988749895,163,157,148,154,162.5,156.0,135,130
26544,0.8264712723889277,8.077747210701755,140,148,158,168,137.0,140.5,142,169
29192,0.8303528354931545,7.648529270389178,138,141,164,178,139.5,133.5,149,171
36036,0.8267292747892467,4.5,118,218,182,198,122.5,218.0,161,186
40800,0.8914124445639027,6.0,186,295,200,204,186.0,289.0,212,202
47520,0.915396236780662,1.5,250,294,220,216,251.5,294.0,215,230
54740,0.9170779187513874,9.5524865872714,272,297,238,230,262.5,298.0,247,230
27888,0.7319324857791178,1.4142135623730951,201,236,166,168,200.0,235.0,194,140
57596,0.8880597014925373,4.242640687119285,279,326,242,238,276.0,323.0,266,242
61992,0.89764450758992,2.5495097567963922,321,310,246,252,320.5,307.5,265,243
62464,0.9417783519453449,0.7071067811865476,242,270,244,256,241.5,270.5,245,243
64000,0.9025653239499382,1.5811388300841898,198,233,250,256,198.5,231.5,229,259
65016,0.9029477650689097,3.3541019662496847,165,173,258,252,166.5,170.0,267,234
69088,0.8613229907347555,5.315072906367325,152,166,272,254,155.5,170.0,253,236
76032,0.8669452242606255,1.4142135623730951,154,239,288,264,153.0,238.0,270,244
73728,0.9373761595254623,2.5495097567963922,159,240,288,256,156.5,239.5,299,265
67344,0.9525865222799443,1.0,189,189,276,244,190.0,189.0,278,234
70560,0.9247591496589612,3.0413812651491097,173,147,280,252,173.5,150.0,297,248
30260,0.8856992362391362,2.23606797749979,132,295,178,170,134.0,296.0,178,188
64904,0.8801980929854387,2.5,192,127,266,244,189.5,127.0,277,222
72072,0.8619670662485877,7.905694150420948,198,126,286,252,190.5,123.5,291,229
78000,0.9532974395205496,2.8284271247461903,153,133,300,260,155.0,131.0,310,262
67496,0.814354983537863,7.762087348130012,121,239,236,286,128.5,237.0,257,324
76648,0.9451862262825017,6.082762530298219,170,275,286,268,176.0,274.0,284,272
63500,0.9072229140722291,2.23606797749979,256,302,254,250,255.0,304.0,234,248
52440,0.8532509637563108,1.5811388300841898,254,261,230,228,252.5,260.5,247,251
39600,0.9293092806316746,2.5,256,216,198,200,253.5,216.0,203,210
31320,0.9059405161148112,3.5355339059327378,234,151,174,180,236.5,148.5,163,177
27540,0.8344879363887656,5.408326913195984,182,133,162,170,186.5,130.0,143,180
31328,0.920322005214289,4.031128874149275,158,278,178,176,156.0,274.5,170,183
25912,0.8498042553191489,4.301162633521313,84,125,164,158,86.5,121.5,157,179
19360,0.9386539904928697,1.8027756377319946,57,247,110,176,56.0,245.5,112,169
32760,0.9276424412710367,2.0,254,371,180,182,254.0,369.0,174,190
